Generation,Phenotype,Optimum
709,117.522988,117.237
710,117.411077,117.237
711,117.397541,117.237
712,117.391315,117.237
713,117.389038,117.237
714,117.543417,117.237
715,117.590382,117.237
716,117.629244,117.237
717,117.523133,117.237
718,117.567492,117.237
719,117.497075,117.237
720,117.561128,117.237
721,117.673099,117.237
722,117.556060,117.237
723,117.587477,117.237
724,117.462932,117.237
725,117.571005,117.237
726,117.393406,117.237
727,117.436854,117.237
728,117.569333,117.237
729,117.356594,117.237
730,117.473844,117.237
731,117.330176,117.237
732,117.467855,117.237
733,117.490506,117.237
734,117.574741,117.237
735,117.571494,117.237
736,117.464436,117.237
737,117.684385,117.237
738,117.577630,117.237
739,117.650712,117.237
740,117.627589,117.237
741,117.678572,117.237
742,117.721915,117.237
743,117.620406,117.237
744,117.529390,117.237
745,117.545697,117.237
746,117.597322,117.237
747,117.549435,117.237
748,117.565088,117.237
749,117.576314,117.237
750,117.547198,117.237
751,117.513801,117.237
752,117.431254,117.237
753,117.681204,117.237
754,117.513511,117.237
755,117.476296,117.237
756,117.543689,117.237
757,117.508713,117.237
758,117.573682,117.237
759,117.526522,117.237
760,117.578883,117.237
761,117.649172,117.237
762,117.578789,117.237
763,117.617687,117.237
764,117.635747,117.237
765,117.529618,117.237
766,117.364223,117.237
767,117.659759,117.237
768,117.525102,117.237
769,117.532403,117.237
770,117.437871,117.237
771,117.468975,117.237
772,117.563642,117.237
773,117.553402,117.237
774,117.588084,117.237
775,117.468137,117.237
776,117.617127,117.237
777,117.490365,117.237
778,117.722115,117.237
779,117.462386,117.237
780,117.644619,117.237
781,117.471343,117.237
782,117.453856,117.237
783,117.559233,117.237
784,117.434868,117.237
785,117.493369,117.237
786,117.538504,117.237
787,117.661781,117.237
788,117.674085,117.237
789,117.532936,117.237
790,117.592327,117.237
791,117.698597,117.237
792,117.451413,117.237
793,117.714236,117.237
794,117.487394,117.237
795,117.487028,117.237
796,117.573136,117.237
797,117.553121,117.237
798,117.500408,117.237
799,117.410602,117.237
800,117.514712,117.237
801,117.572376,117.237
802,117.420067,117.237
803,117.575643,117.237
804,117.373459,117.237
805,117.270574,117.237
806,117.394790,117.237
807,117.499230,117.237
808,117.389033,117.237
809,117.394812,117.237
810,117.446436,117.237
811,117.601821,117.237
812,117.554054,117.237
813,117.527850,117.237
814,117.447427,117.237
815,117.529766,117.237
816,117.452903,117.237
817,117.347770,117.237
818,117.427896,117.237
819,117.411182,117.237
820,117.463788,117.237
821,117.590233,117.237
822,117.530719,117.237
823,117.442245,117.237
824,117.509165,117.237
825,117.478649,117.237
826,117.541048,117.237
827,117.501488,117.237
828,117.426034,117.237
829,117.394106,117.237
830,117.467436,117.237
831,117.357537,117.237
832,117.393855,117.237
833,117.369466,117.237
834,117.436802,117.237
835,117.476614,117.237
836,117.465947,117.237
837,117.531650,117.237
838,117.698233,117.237
839,117.495681,117.237
840,117.578258,117.237
841,117.593028,117.237
842,117.663023,117.237
843,117.698642,117.237
844,117.575196,117.237
845,117.591297,117.237
846,117.575880,117.237
847,117.563863,117.237
848,117.579460,117.237
849,117.556488,117.237
850,117.382122,117.237
851,117.363436,117.237
852,117.470313,117.237
853,117.506412,117.237
854,117.642711,117.237
855,117.597936,117.237
856,117.554577,117.237
857,117.464116,117.237
858,117.710231,117.237
859,117.580973,117.237
860,117.589429,117.237
861,117.412580,117.237
862,117.456489,117.237
863,117.603266,117.237
864,117.476161,117.237
865,117.487382,117.237
866,117.490637,117.237
867,117.417220,117.237
868,117.525759,117.237
869,117.454999,117.237
870,117.681897,117.237
871,117.519091,117.237
872,117.554013,117.237
873,117.451797,117.237
874,117.622213,117.237
875,117.481473,117.237
876,117.627367,117.237
877,117.599716,117.237
878,117.470627,117.237
879,117.483861,117.237
880,117.669767,117.237
881,117.638812,117.237
882,117.560017,117.237
883,117.592511,117.237
884,117.550218,117.237
885,117.698141,117.237
886,117.759721,117.237
887,117.766576,117.237
888,117.680065,117.237
889,117.684349,117.237
890,117.851973,117.237
891,117.792691,117.237
892,117.792513,117.237
893,117.785044,117.237
894,117.700028,117.237
895,117.781774,117.237
896,117.759615,117.237
897,117.653756,117.237
898,117.494463,117.237
899,117.428270,117.237
900,117.584172,117.237
901,117.526210,117.237
902,117.666649,117.237
903,117.657887,117.237
904,117.734612,117.237
905,117.706147,117.237
906,117.695943,117.237
907,117.664903,117.237
908,117.667538,117.237
909,117.629387,117.237
910,117.618516,117.237
911,117.624579,117.237
912,117.631545,117.237
913,117.706682,117.237
914,117.625426,117.237
915,117.619980,117.237
916,117.762302,117.237
917,117.772964,117.237
918,117.626941,117.237
919,117.529745,117.237
920,117.445249,117.237
921,117.579549,117.237
922,117.535355,117.237
923,117.388644,117.237
924,117.438892,117.237
925,117.513139,117.237
926,117.370111,117.237
927,117.419225,117.237
928,117.262672,117.237
929,117.520805,117.237
930,117.425440,117.237
931,117.472847,117.237
932,117.307333,117.237
933,117.402540,117.237
934,117.437266,117.237
935,117.259064,117.237
936,117.337845,117.237
937,117.331326,117.237
938,117.159594,117.237
939,117.275387,117.237
940,117.421478,117.237
941,117.487014,117.237
942,117.358933,117.237
943,117.401355,117.237
944,117.440305,117.237
945,117.452300,117.237
946,117.494010,117.237
947,117.425786,117.237
948,117.487001,117.237
949,117.243188,117.237
950,117.498580,117.237
951,117.376699,117.237
952,117.312867,117.237
953,117.189039,117.237
