Generation,Position,Frequency,Effect,Heterozygosity,origin
251,500000,0.922150,3.048570,1.43579e-07,1
252,500000,0.922450,3.048570,1.43072e-07,1
253,500000,0.920200,3.048570,1.46864e-07,1
254,500000,0.924150,3.048570,1.40193e-07,1
255,500000,0.928650,3.048570,1.32518e-07,1
256,500000,0.929300,3.048570,1.31403e-07,1
257,500000,0.932350,3.048570,1.26147e-07,1
258,500000,0.934650,3.048570,1.22159e-07,1
259,500000,0.936400,3.048570,1.1911e-07,1
260,500000,0.936650,3.048570,1.18673e-07,1
261,500000,0.939500,3.048570,1.13679e-07,1
262,500000,0.941350,3.048570,1.1042e-07,1
263,500000,0.942550,3.048570,1.08299e-07,1
264,500000,0.942000,3.048570,1.09272e-07,1
265,500000,0.942350,3.048570,1.08653e-07,1
266,500000,0.941950,3.048570,1.0936e-07,1
267,500000,0.945750,3.048570,1.02614e-07,1
268,500000,0.945750,3.048570,1.02614e-07,1
269,500000,0.944850,3.048570,1.04217e-07,1
270,500000,0.947250,3.048570,9.99348e-08,1
271,500000,0.947800,3.048570,9.89502e-08,1
272,500000,0.947550,3.048570,9.93979e-08,1
273,500000,0.948250,3.048570,9.81438e-08,1
274,500000,0.948400,3.048570,9.78748e-08,1
275,500000,0.947550,3.048570,9.93979e-08,1
276,500000,0.946150,3.048570,1.019e-07,1
277,500000,0.947150,3.048570,1.00114e-07,1
278,500000,0.945900,3.048570,1.02346e-07,1
279,500000,0.949650,3.048570,9.56297e-08,1
280,500000,0.950150,3.048570,9.47299e-08,1
281,500000,0.950000,3.048570,9.49999e-08,1
282,500000,0.951250,3.048570,9.27468e-08,1
283,500000,0.953700,3.048570,8.83125e-08,1
284,500000,0.953850,3.048570,8.80403e-08,1
285,500000,0.953100,3.048570,8.94007e-08,1
286,500000,0.955400,3.048570,8.52216e-08,1
287,500000,0.954150,3.048570,8.74955e-08,1
288,500000,0.956000,3.048570,8.41279e-08,1
289,500000,0.956800,3.048570,8.26674e-08,1
290,500000,0.959850,3.048570,7.70759e-08,1
291,500000,0.959500,3.048570,7.77194e-08,1
292,500000,0.958500,3.048570,7.95554e-08,1
293,500000,0.960600,3.048570,7.56952e-08,1
294,500000,0.959000,3.048570,7.86379e-08,1
295,500000,0.959900,3.048570,7.69839e-08,1
296,500000,0.959000,3.048570,7.86379e-08,1
297,500000,0.960350,3.048570,7.61557e-08,1
298,500000,0.962600,3.048570,7.20024e-08,1
299,500000,0.963000,3.048570,7.12619e-08,1
300,500000,0.962150,3.048570,7.28347e-08,1
301,500000,0.960550,3.048570,7.57873e-08,1
302,500000,0.959050,3.048570,7.85461e-08,1
303,500000,0.960250,3.048570,7.63398e-08,1
304,500000,0.960050,3.048570,7.67079e-08,1
305,500000,0.960400,3.048570,7.60636e-08,1
306,500000,0.961500,3.048570,7.40354e-08,1
307,500000,0.959300,3.048570,7.80869e-08,1
308,500000,0.960250,3.048570,7.63398e-08,1
309,500000,0.960850,3.048570,7.52345e-08,1
310,500000,0.960400,3.048570,7.60636e-08,1
311,500000,0.960950,3.048570,7.50501e-08,1
312,500000,0.962500,3.048570,7.21874e-08,1
313,500000,0.964850,3.048570,6.78289e-08,1
314,500000,0.966300,3.048570,6.51286e-08,1
315,500000,0.968600,3.048570,6.0828e-08,1
316,500000,0.967950,3.048570,6.20455e-08,1
317,500000,0.969000,3.048570,6.00779e-08,1
318,500000,0.967950,3.048570,6.20455e-08,1
319,500000,0.964950,3.048570,6.76429e-08,1
320,500000,0.967850,3.048570,6.22327e-08,1
321,500000,0.967300,3.048570,6.32614e-08,1
322,500000,0.968700,3.048570,6.06406e-08,1
323,500000,0.969950,3.048570,5.82939e-08,1
324,500000,0.970100,3.048570,5.80119e-08,1
325,500000,0.969200,3.048570,5.97027e-08,1
326,500000,0.968450,3.048570,6.11091e-08,1
327,500000,0.971050,3.048570,5.62237e-08,1
328,500000,0.970500,3.048570,5.72594e-08,1
329,500000,0.968700,3.048570,6.06406e-08,1
330,500000,0.971300,3.048570,5.57526e-08,1
331,500000,0.971100,3.048570,5.61295e-08,1
332,500000,0.971050,3.048570,5.62237e-08,1
333,500000,0.971400,3.048570,5.5564e-08,1
334,500000,0.971800,3.048570,5.48095e-08,1
335,500000,0.971300,3.048570,5.57526e-08,1
336,500000,0.970900,3.048570,5.65063e-08,1
337,500000,0.971250,3.048570,5.58468e-08,1
338,500000,0.970750,3.048570,5.67888e-08,1
339,500000,0.970750,3.048570,5.67888e-08,1
340,500000,0.971150,3.048570,5.60353e-08,1
341,500000,0.969900,3.048570,5.83879e-08,1
342,500000,0.971700,3.048570,5.49982e-08,1
343,500000,0.971900,3.048570,5.46207e-08,1
344,500000,0.971650,3.048570,5.50925e-08,1
345,500000,0.973250,3.048570,5.20688e-08,1
346,500000,0.972700,3.048570,5.31094e-08,1
347,500000,0.974400,3.048570,4.98892e-08,1
348,500000,0.974800,3.048570,4.91299e-08,1
349,500000,0.974200,3.048570,5.02687e-08,1
350,500000,0.975250,3.048570,4.82748e-08,1
351,500000,0.976300,3.048570,4.62766e-08,1
352,500000,0.975600,3.048570,4.76092e-08,1
353,500000,0.975850,3.048570,4.71335e-08,1
354,500000,0.976250,3.048570,4.63718e-08,1
355,500000,0.975550,3.048570,4.77043e-08,1
356,500000,0.975250,3.048570,4.82748e-08,1
357,500000,0.975500,3.048570,4.77995e-08,1
358,500000,0.975400,3.048570,4.79896e-08,1
359,500000,0.976400,3.048570,4.6086e-08,1
